ir1,ir2
107068,97830
109455,97912
109491,98009
109520,98055
109554,98095
109570,98112
109580,98086
109613,98040
109633,98007
109671,97984
109712,97968
109761,97999
109819,98025
109861,98112
109908,98161
109927,98233
109948,98258
109981,98303
110030,98299
110055,98309
110071,98102
110115,98080
110133,98125
110163,98117
110138,98103
110054,98066
109940,98004
109773,97931
109602,97837
109376,97800
109224,97699
109045,97672
108942,97638
108804,97593
108752,97590
108737,97599
108742,97639
108784,97690
108833,97783
108858,97885
108870,97991
108873,98032
108854,98071
108834,98028
108808,97973
108837,97934
108858,97896
108885,97902
108980,97923
109039,97972
109116,98041
109205,98073
109270,98119
109322,98154
109310,98150
109306,98141
109310,98080
109270,98047
109251,98003
109238,97996
109227,98013
109253,98073
109303,98135
109326,98200
109383,98284
109424,98383
109450,98424
109453,98439
109469,98428
109474,98385
109507,98333
109508,98298
109538,98285
109557,98300
109628,98346
109672,98355
109752,98398
109812,98436
109879,98431
109877,98416
109909,98426
109872,98424
109875,98442
109897,98446
109911,98468
109980,98485
109998,98498
110041,98524
110061,98545
110055,98524
110093,98512
110092,98476
110131,98455
110141,98428
110193,98389
110255,98359
110303,98332
110316,98343
110362,98350
110350,98369
110320,98364
110262,98356
110178,98279
110040,98194
109871,98074
109671,97927
109430,97780
109198,97611
109000,97497
108866,97441
108770,97413
108723,97366
108685,97390
108690,97383
108693,97374
108705,97382
108705,97413
108725,97459
108729,97470
108762,97515
108761,97562
108809,97601
108820,97632
108846,97646
108876,97676
108927,97722
108988,97769
109079,97809
109129,97880
109184,97890
109207,97902
109235,97895
109247,97883
109239,97907
109256,97900
109246,97899
109251,97884
109250,97882
109254,97888
109268,97873
109292,97892
109315,97900
109339,97948
109389,97986
109398,98048
109426,98095
109456,98133
109498,98170
109522,98210
109587,98219
109604,98238
109641,98245
109648,98241
109650,98244
109664,98277
109688,98333
109727,98394
109740,98446
109796,98477
109804,98470
109796,98448
109810,98435
109818,98462
109812,98483
109799,98510
109803,98536
109823,98544
109834,98524
109862,98526
109889,98532
109924,98532
109957,98547
109986,98583
109994,98612
110034,98614
110047,98626
110085,98636
110114,98638
110141,98632
110135,98605
110147,98591
110197,98591
110178,98557
110162,98501
110050,98444
109902,98399
109733,98331
109533,98245
109325,98180
109154,98108
108969,98028
108857,97949
108750,97885
108711,97856
108668,97866
108663,97871
108663,97917
108707,97959
108725,97998
108742,98007
108780,98003
108777,98000
108789,97959
108793,97966
108828,97958
108852,97960
108863,97951
108903,97965
108940,97967
108988,97976
109046,97974
109090,97999
109117,98015
109156,98048
109177,98048
109180,98016
109186,97980
109181,97943
109156,97885
109151,97855
109142,97844
109136,97802
109135,97779
109161,97781
109208,97783
109253,97817
109299,97861
109318,97863
109374,97916
109395,97945
109447,97987
109472,98005
109520,98023
109521,98020
109562,97993
109589,98040
109637,98093
109671,98143
109733,98198
109757,98253
109806,98298
109822,98333
109853,98338
109855,98339
109862,98357
109850,98388
109891,98412
109890,98440
109961,98493
109973,98500
110014,98523
110038,98497
110080,98490
110109,98483
110149,98496
110155,98523
110201,98603
110240,98649
110274,98678
110327,98679
110355,98652
110343,98589
110327,98493
110255,98388
110155,98282
110028,98204
109878,98145
109696,98109
109506,98085
109325,98032
109166,98048
109013,98040
108909,98003
108846,97977
108785,97980
108742,98006
108773,98044
108758,98062
108789,98063
108771,98057
108813,98043
108829,98034
108821,98049
108840,98040
108868,98098
108921,98119
108967,98167
109030,98216
109133,98271
109177,98257
109227,98256
109272,98257
109312,98243
109338,98241
109388,98285
109404,98293
109450,98285
109461,98303
109445,98283
109437,98275
109464,98268
109449,98234
109430,98243
109444,98254
109496,98265
109542,98254
109593,98266
109633,98307
109703,98285
109750,98289
109795,98271
109837,98265
109867,98286
109937,98297
109968,98312
110023,98334
110050,98343
110103,98357
110148,98373
110205,98404
110223,98466
110269,98519
110302,98538
110321,98550
110360,98557
110381,98577
110391,98544
110424,98538
110471,98511
110491,98507
110537,98522
110551,98559
110572,98586
110623,98598
110648,98619
110668,98628
110696,98650
110698,98655
110717,98695
110748,98662
110783,98657
110833,98662
110892,98656
110947,98616
110976,98546
111037,98495
111054,98426
111107,98420
111096,98361
111118,98335
111127,98287
111116,98235
111102,98175
111033,98120
110907,98051
110716,97953
110508,97889
110283,97809
110047,97753
109863,97715
109683,97695
109577,97688
109476,97696
109443,97726
109417,97744
109424,97776
109402,97784
109408,97812
109402,97820
109415,97840
109389,97850
109384,97819
109382,97807
109407,97801
109416,97793
109466,97814
109500,97827
109555,97865
109641,97899
109699,97898
109724,97901
109769,97893
109824,97905
109863,97919
109854,97915
109877,97924
109883,97926
109906,97944
109868,97979
109885,98001
109881,98027
109911,98081
109908,98117
109947,98143
109976,98161
109996,98182
110017,98178
110035,98185
110018,98195
110029,98175
110040,98176
110101,98211
110136,98251
110160,98290
110226,98356
110256,98400
110302,98450
110346,98479
110379,98495
110416,98514
110441,98516
110447,98509
110477,98500
110505,98500
110552,98503
110590,98500
110605,98521
110647,98535
110664,98553
110684,98566
110694,98574
110683,98580
110707,98620
110754,98636
110764,98655
110793,98690
110826,98704
110845,98741
110888,98741
110906,98766
110932,98783
110954,98810
111010,98839
111044,98837
111059,98800
111087,98736
111107,98679
111103,98587
111062,98485
110964,98371
110832,98296
110646,98274
110486,98262
110268,98266
110092,98269
109925,98254
109779,98265
109677,98249
109575,98257
109521,98257
109466,98308
109446,98315
109453,98342
109477,98351
109497,98362
109528,98347
109538,98351
109565,98349
109582,98373
109620,98361
109665,98378
109713,98410
109777,98456
109826,98502
109903,98585
109969,98608
110033,98673
110082,98700
110108,98675
110118,98675
110138,98651
110135,98665
110143,98689
110131,98704
110123,98736
110124,98734
110137,98746
110144,98701
110165,98746
110185,98838
110225,99056
110210,99283
110242,99518
110269,99747
110338,99864
110373,100011
110432,100236
110472,100452
110542,100684
110560,100826
110635,101029
110649,101271
110677,101501
110706,101706
110726,101870
110733,101972
110728,102041
110698,102109
110681,102214
110667,102314
110656,102662
110679,102955
110685,103257
110728,103419
110736,103471
110691,103295
110660,103410
110623,103569
110566,103744
110568,103701
110609,103608
110715,103494
110815,103494
110922,103519
111009,103505
111115,103512
111180,103552
111239,103584
111274,103674
111266,103886
111254,104157
111272,104333
111275,104465
111319,104585
111316,104780
111293,104919
111188,105126
111047,105311
110899,105505
110748,105633
110537,105727
110329,105830
110124,106041
109933,106153
109754,106258
109657,106297
109555,106370
109521,106417
109497,106478
109501,106544
109502,106604
109541,106667
109529,106773
109547,106855
109549,106920
109593,106980
109612,107036
109629,107040
109680,107064
109681,107084
109728,107083
109755,107086
109772,107054
109798,107043
109784,107043
109786,107001
109767,106989
109795,106992
109784,106960
109818,106923
109850,106919
109878,106889
109900,106877
109904,106875
109924,106854
109958,106835
109985,106788
109990,106774
110004,106720
110010,106686
110002,106661
109996,106622
110010,106601
110005,106587
110006,106598
110050,106601
110092,106598
110116,106593
110122,106599
110150,106604
110164,106613
110185,106658
110185,106666
110218,106676
110244,106660
110275,106655
110304,106671
110334,106665
110339,106701
110338,106724
110331,106758
110331,106798
110348,106787
110351,106776
110393,106778
110408,106757
110422,106735
110453,106737
110491,106749
110542,106719
110573,106718
110613,106712
110680,106701
110714,106716
110726,106695
110748,106668
110772,106659
110800,106633
110831,106601
110859,106566
110893,106493
110934,106435
110961,106363
110954,106272
110877,106178
110787,106080
110595,105966
110394,105887
110177,105812
109944,105719
109738,105689
109533,105659
109393,105630
109239,105614
109147,105593
109034,105551
109001,105478
108947,105446
108921,105385
108888,105340
108871,105315
108838,105289
108850,105251
108837,105256
108838,105284
108830,105294
108859,105320
108871,105307
108949,105306
108976,105289
109018,105258
109037,105249
109087,105216
109098,105184
109095,105174
109120,105168
109115,105178
109115,105162
109115,105145
109117,105129
109099,105116
109107,105115
109109,105145
109132,105123
109139,105132
109166,105112
109228,105102
109255,105083
109293,105104
109309,105105
109337,105158
109355,105168
109435,105173
109433,105150
109498,105093
109527,105106
109559,105063
109597,105069
109614,105075
109644,105082
109674,105111
109703,105137
109699,105162
109766,105162
109789,105173
109825,105170
109823,105224
109847,105249
109895,105306
109893,105342
109925,105375
109940,105394
109959,105406
109990,105392
110026,105440
110012,105475
110061,105543
110122,105570
110156,105588
110215,105549
110241,105505
110274,105408
110330,105337
110317,105231
110339,105146
110327,105036
110292,104963
110214,104853
110105,104803
109969,104737
109789,104697
109621,104649
109428,104658
109271,104666
109143,104729
109026,104741
108938,104754
108906,104760
108889,104745
108862,104722
108871,104701
108865,104690
108858,104754
108861,104852
108898,104990
108951,105125
108951,105264
109000,105356
108992,105471
109007,105576
109025,105657
