ir1,ir2,ir1filt,ir2filt
92599,84215,-21174,-20689
92609,84194,-31801,-30567
92624,84204,-42259,-40071
92658,84223,-51615,-48420
92672,84239,-59298,-55151
92701,84249,-65032,-60061
92728,84270,-68767,-63140
92737,84279,-70611,-64514
92736,84290,-70780,-64398
92756,84286,-69546,-63049
92775,84301,-67206,-60740
92787,84264,-64048,-57732
92791,84254,-60338,-54262
92806,84261,-56304,-50533
92800,84266,-52136,-46711
92811,84276,-47979,-42922
92814,84301,-43940,-39260
92844,84291,-40089,-35784
92838,84286,-36469,-32525
92827,84272,-33098,-29496
92838,84274,-29973,-26693
92857,84253,-27085,-24102
92857,84252,-24411,-21703
92844,84250,-21928,-19472
92867,84259,-19609,-17387
92838,84250,-17429,-15425
92841,84257,-15366,-13568
92852,84238,-13400,-11797
92863,84247,-11517,-10099
92847,84254,-9704,-8464
92856,84267,-7953,-6885
92878,84252,-6258,-5357
92869,84271,-4616,-3876
92881,84269,-3026,-2442
92883,84298,-1486,-1055
92867,84297,3,284
92871,84302,1441,1577
92885,84299,2828,2820
92872,84294,4161,4015
92890,84279,5439,5162
92900,84292,6661,6259
92927,84303,7826,7306
92936,84294,8933,8303
92936,84291,9983,9250
92953,84283,10976,10147
92969,84286,11914,10996
92988,84298,12797,11797
92990,84291,13627,12550
92989,84285,14405,13256
92989,84322,15134,13917
92983,84336,15816,14533
93008,84344,16453,15103
93019,84349,17045,15630
93027,84364,17592,16116
93081,84369,18095,16562
93110,84388,18555,16969
93137,84422,18970,17339
93169,84415,19344,17672
93169,84431,19678,17970
93185,84455,19975,18235
93199,84458,20236,18468
93194,84482,20464,18670
93210,84488,20661,18843
93210,84491,20829,18987
93203,84485,20968,19104
93157,84466,21082,19198
93126,84438,21172,19269
93095,84422,21240,19319
93103,84412,21288,19350
93087,84374,21313,19362
93114,84342,21315,19356
93089,84327,21293,19332
93098,84341,21247,19290
93077,84352,21178,19229
93073,84372,21087,19146
93052,84387,20975,19041
93073,84405,20843,18914
93100,84412,20690,18767
93122,84417,20517,18600
93126,84405,20324,18416
93139,84405,20111,18217
93135,84377,19882,18005
93124,84406,19639,17783
93131,84392,19383,17551
93129,84408,19116,17308
93133,84396,18839,17057
93165,84389,18552,16797
93197,84375,18255,16530
93211,84359,17948,16257
93228,84348,17630,15979
93235,84342,17305,15697
93207,84339,16972,15410
93209,84345,16636,15118
93186,84307,16298,14821
93187,84303,15958,14521
93159,84278,15617,14217
93137,84275,15277,13912
93126,84292,14937,13603
93106,84282,14598,13291
93096,84268,14259,12975
93106,84267,13920,12657
93088,84247,13579,12337
93109,84237,13236,12017
93074,84226,12890,11696
93093,84219,12544,11375
93070,84230,12196,11055
93063,84207,11847,10734
93062,84212,11499,10415
93078,84216,11152,10096
93069,84217,10804,9777
93096,84227,10456,9460
93079,84227,10109,9143
93072,84257,9764,8827
93085,84232,9421,8512
93077,84248,9081,8199
93066,84222,8745,7889
93079,84219,8413,7584
93090,84233,8085,7284
93117,84250,7761,6988
93127,84239,7439,6696
93147,84248,7120,6409
93153,84247,6804,6126
93175,84222,6492,5847
93169,84234,6184,5575
93182,84220,5882,5309
93175,84227,5585,5049
93188,84246,5296,4794
93197,84245,5013,4544
93222,84281,4736,4297
93241,84279,4465,4054
93273,84297,4199,3814
93305,84297,3938,3578
93322,84288,3680,3347
93325,84286,3427,3121
93332,84289,3180,2903
93316,84267,2941,2692
93316,84261,2710,2488
93293,84268,2489,2292
93304,84275,2278,2103
93287,84281,2077,1920
93317,84310,1884,1742
93331,84297,1698,1567
93344,84321,1517,1397
93390,84374,1340,1231
93433,84428,1166,1065
93477,84466,993,900
93503,84494,820,734
93558,84538,649,570
93591,84597,479,408
93635,84640,312,247
93727,84652,147,90
93764,84679,-16,-62
93803,84682,-176,-207
93831,84696,-332,-344
93876,84701,-482,-471
93901,84729,-625,-589
93953,84752,-759,-697
93978,84775,-886,-798
94012,84789,-1005,-892
94046,84806,-1115,-980
94082,84813,-1218,-1061
94126,84838,-1313,-1136
94131,84877,-1402,-1206
94118,84914,-1482,-1273
94150,84938,-1554,-1337
94148,84921,-1617,-1399
94150,84924,-1671,-1455
94153,84918,-1717,-1506
94192,84892,-1757,-1549
94226,84894,-1791,-1585
94226,84888,-1822,-1613
94262,84911,-1850,-1636
94230,84924,-1875,-1654
94251,84904,-1896,-1670
94247,84890,-1912,-1682
